income_bin,Ethnic,rural,distance,FIND_DIV_1000,dp
"(4.505,5.99]",Asian,Rural,28.06964341,5,dp1
"(4.505,5.99]",Asian,Urban,1.814904902,5,dp1
"(4.505,5.99]",Black or African American,Rural,41.70654556,5,dp1
"(4.505,5.99]",Black or African American,Urban,4.897697864,5,dp1
"(4.505,5.99]",Hispanic,Rural,25.09416383,5,dp1
"(4.505,5.99]",Hispanic,Urban,3.216482277,5,dp1
"(4.505,5.99]",White,Rural,29.04456905,5,dp1
"(4.505,5.99]",White,Urban,5.001857263,5,dp1
"(5.99,6.98]",Asian,Rural,26.7487703,6,dp1
"(5.99,6.98]",Asian,Urban,2.009030782,6,dp1
"(5.99,6.98]",Black or African American,Rural,38.44569292,6,dp1
"(5.99,6.98]",Black or African American,Urban,4.262114857,6,dp1
"(5.99,6.98]",Hispanic,Rural,27.0658733,6,dp1
"(5.99,6.98]",Hispanic,Urban,3.140341102,6,dp1
"(5.99,6.98]",White,Rural,27.94431068,6,dp1
"(5.99,6.98]",White,Urban,5.151743987,6,dp1
"(6.98,7.97]",Asian,Rural,23.79260957,7,dp1
"(6.98,7.97]",Asian,Urban,2.28922274,7,dp1
"(6.98,7.97]",Black or African American,Rural,36.22263023,7,dp1
"(6.98,7.97]",Black or African American,Urban,4.376755329,7,dp1
"(6.98,7.97]",Hispanic,Rural,25.81250417,7,dp1
"(6.98,7.97]",Hispanic,Urban,3.170225356,7,dp1
"(6.98,7.97]",White,Rural,26.40031648,7,dp1
"(6.98,7.97]",White,Urban,5.470050727,7,dp1
"(7.97,8.96]",Asian,Rural,26.30205219,8,dp1
"(7.97,8.96]",Asian,Urban,2.227931044,8,dp1
"(7.97,8.96]",Black or African American,Rural,37.96887264,8,dp1
"(7.97,8.96]",Black or African American,Urban,4.367340163,8,dp1
"(7.97,8.96]",Hispanic,Rural,26.20063122,8,dp1
"(7.97,8.96]",Hispanic,Urban,3.304658702,8,dp1
"(7.97,8.96]",White,Rural,25.87600784,8,dp1
"(7.97,8.96]",White,Urban,5.662763606,8,dp1
"(8.96,9.95]",Asian,Rural,25.82886324,9,dp1
"(8.96,9.95]",Asian,Urban,2.167367602,9,dp1
"(8.96,9.95]",Black or African American,Rural,36.36122354,9,dp1
"(8.96,9.95]",Black or African American,Urban,4.374821856,9,dp1
"(8.96,9.95]",Hispanic,Rural,25.75435943,9,dp1
"(8.96,9.95]",Hispanic,Urban,3.362979942,9,dp1
"(8.96,9.95]",White,Rural,26.41876206,9,dp1
"(8.96,9.95]",White,Urban,5.662357453,9,dp1
"(9.95,10.94]",Asian,Rural,25.98068307,10,dp1
"(9.95,10.94]",Asian,Urban,2.481621203,10,dp1
"(9.95,10.94]",Black or African American,Rural,35.41199861,10,dp1
"(9.95,10.94]",Black or African American,Urban,4.497566355,10,dp1
"(9.95,10.94]",Hispanic,Rural,27.67912676,10,dp1
"(9.95,10.94]",Hispanic,Urban,3.487909008,10,dp1
"(9.95,10.94]",White,Rural,27.33387854,10,dp1
"(9.95,10.94]",White,Urban,5.681137116,10,dp1
"(10.94,11.93]",Asian,Rural,24.42759662,11,dp1
"(10.94,11.93]",Asian,Urban,2.400102243,11,dp1
"(10.94,11.93]",Black or African American,Rural,36.22753571,11,dp1
"(10.94,11.93]",Black or African American,Urban,4.564500108,11,dp1
"(10.94,11.93]",Hispanic,Rural,27.35329264,11,dp1
"(10.94,11.93]",Hispanic,Urban,3.591780537,11,dp1
"(10.94,11.93]",White,Rural,27.19151897,11,dp1
"(10.94,11.93]",White,Urban,5.815145364,11,dp1
"(11.93,12.92]",Asian,Rural,20.08146368,12,dp1
"(11.93,12.92]",Asian,Urban,2.390268431,12,dp1
"(11.93,12.92]",Black or African American,Rural,35.74120661,12,dp1
"(11.93,12.92]",Black or African American,Urban,4.566751964,12,dp1
"(11.93,12.92]",Hispanic,Rural,24.87120835,12,dp1
"(11.93,12.92]",Hispanic,Urban,3.654323189,12,dp1
"(11.93,12.92]",White,Rural,26.68567386,12,dp1
"(11.93,12.92]",White,Urban,5.964748822,12,dp1
"(12.92,13.91]",Asian,Rural,26.21015148,13,dp1
"(12.92,13.91]",Asian,Urban,2.490642144,13,dp1
"(12.92,13.91]",Black or African American,Rural,34.92130799,13,dp1
"(12.92,13.91]",Black or African American,Urban,4.650032711,13,dp1
"(12.92,13.91]",Hispanic,Rural,27.43416633,13,dp1
"(12.92,13.91]",Hispanic,Urban,3.770503478,13,dp1
"(12.92,13.91]",White,Rural,28.1883446,13,dp1
"(12.92,13.91]",White,Urban,6.230878075,13,dp1
"(13.91,14.9]",Asian,Rural,23.46089069,14,dp1
"(13.91,14.9]",Asian,Urban,2.549724644,14,dp1
"(13.91,14.9]",Black or African American,Rural,34.39704467,14,dp1
"(13.91,14.9]",Black or African American,Urban,4.589919189,14,dp1
"(13.91,14.9]",Hispanic,Rural,27.13382276,14,dp1
"(13.91,14.9]",Hispanic,Urban,3.921451386,14,dp1
"(13.91,14.9]",White,Rural,26.83290237,14,dp1
"(13.91,14.9]",White,Urban,6.206540674,14,dp1
"(14.9,15.89]",Asian,Rural,22.18140624,15,dp1
"(14.9,15.89]",Asian,Urban,2.385184148,15,dp1
"(14.9,15.89]",Black or African American,Rural,31.8090228,15,dp1
"(14.9,15.89]",Black or African American,Urban,4.20477719,15,dp1
"(14.9,15.89]",Hispanic,Rural,23.36554583,15,dp1
"(14.9,15.89]",Hispanic,Urban,3.701430504,15,dp1
"(14.9,15.89]",White,Rural,25.7451322,15,dp1
"(14.9,15.89]",White,Urban,5.713223856,15,dp1
"(15.89,16.88]",Asian,Rural,21.73452866,16,dp1
"(15.89,16.88]",Asian,Urban,2.390295606,16,dp1
"(15.89,16.88]",Black or African American,Rural,31.75563262,16,dp1
"(15.89,16.88]",Black or African American,Urban,4.403726431,16,dp1
"(15.89,16.88]",Hispanic,Rural,22.81411064,16,dp1
"(15.89,16.88]",Hispanic,Urban,3.576554642,16,dp1
"(15.89,16.88]",White,Rural,25.23231363,16,dp1
"(15.89,16.88]",White,Urban,6.020153358,16,dp1
"(16.88,17.87]",Asian,Rural,23.23502252,17,dp1
"(16.88,17.87]",Asian,Urban,2.393753681,17,dp1
"(16.88,17.87]",Black or African American,Rural,31.10122556,17,dp1
"(16.88,17.87]",Black or African American,Urban,4.217298305,17,dp1
"(16.88,17.87]",Hispanic,Rural,23.35924011,17,dp1
"(16.88,17.87]",Hispanic,Urban,3.7149658,17,dp1
"(16.88,17.87]",White,Rural,25.79706096,17,dp1
"(16.88,17.87]",White,Urban,5.884180858,17,dp1
"(17.87,18.86]",Asian,Rural,21.94603963,18,dp1
"(17.87,18.86]",Asian,Urban,2.474238654,18,dp1
"(17.87,18.86]",Black or African American,Rural,31.34673138,18,dp1
"(17.87,18.86]",Black or African American,Urban,4.505775267,18,dp1
"(17.87,18.86]",Hispanic,Rural,21.20816504,18,dp1
"(17.87,18.86]",Hispanic,Urban,3.782007056,18,dp1
