state,code
Alabama,income negative
Arkansas,income negative
Arizona,income negative
California,income negative
Colorado,income negative
Connecticut,income negative
Delaware,income negative
Florida,income negative
Georgia,income negative
Hawaii,income positive
Iowa,income negative
Idaho,income negative
Illinois,income negative
Indiana,income negative
Kansas,income negative
Kentucky,income negative
Louisiana,income negative
Massachusetts,income negative
Maine,income negative
Maryland,income negative
Michigan,income negative
Minnesota,income negative
Missouri,income negative
Mississippi,income negative
Montana,income negative
North Carolina,income negative
North Dakota,income negative
Nebraska,income negative
New Hampshire,income negative
New Jersey,income negative
New Mexico,income negative
Nevada,income negative
New York,income negative
Ohio,income negative
Oklahoma,income negative
Oregon,income negative
Pennsylvania,income negative
Rhode Island,income negative
South Carolina,income negative
South Dakota,income negative
Tennessee,income negative
Texas,income negative
Utah,income negative
Virginia,income negative
Vermont,income negative
Washington,income negative
Wisconsin,income negative
West Virginia,income negative
Wyoming,income negative
Alaska,race negative
