state,code
Alaska,income positive
Alabama,income positive
Arkansas,income positive
California,equal 
Colorado,income positive
Connecticut,income positive
Hawaii,income positive
Iowa,income positive
Idaho,income positive
Kansas,equal 
Kentucky,income positive
Massachusetts,income positive
Maine,income positive
Maryland,income positive
Michigan,income positive
Minnesota,income positive
Mississippi,income positive
Montana,income positive
North Carolina,income positive
North Dakota,equal 
Nebraska,income positive
New Hampshire,income positive
New Mexico,equal 
Nevada,income positive
Ohio,income positive
Oklahoma,income positive
Oregon,income positive
Pennsylvania,income positive
Rhode Island,income positive
South Carolina,income negative
South Dakota,income positive
Tennessee,equal 
Utah,income positive
Vermont,income positive
Washington,income positive
Wisconsin,income positive
Wyoming,income positive
Arizona,race positive
Delaware,race negative
Florida,race positive
Georgia,race positive
Illinois,race positive
Indiana,race positive
Louisiana,race positive
Missouri,race positive
New Jersey,race positive
New York,race positive
Texas,race positive
Virginia,race positive
West Virginia,race negative
District of Columbia,race positive
